realtime_start;realtime_end;date;value
23 December 2019;2019-12-23;22/8/1980;11.25
23 December 2019;2019-12-23;27/8/1980;11.5
23 December 2019;2019-12-23;8/9/1980;12
23 December 2019;2019-12-23;12/9/1980;12.25
23 December 2019;2019-12-23;19/9/1980;12.5
23 December 2019;2019-12-23;26/9/1980;13
23 December 2019;2019-12-23;1/10/1980;13.5
23 December 2019;2019-12-23;17/10/1980;14
23 December 2019;2019-12-23;29/10/1980;14.5
23 December 2019;2019-12-23;6/11/1980;15.5
23 December 2019;2019-12-23;17/11/1980;16.25
23 December 2019;2019-12-23;21/11/1980;17
23 December 2019;2019-12-23;26/11/1980;17.75
23 December 2019;2019-12-23;2/12/1980;18.5
23 December 2019;2019-12-23;5/12/1980;19
23 December 2019;2019-12-23;10/12/1980;20
23 December 2019;2019-12-23;16/12/1980;21
23 December 2019;2019-12-23;19/12/1980;21.5
23 December 2019;2019-12-23;2/1/1981;20.5
23 December 2019;2019-12-23;9/1/1981;20
23 December 2019;2019-12-23;3/2/1981;19.5
23 December 2019;2019-12-23;23/2/1981;19
23 December 2019;2019-12-23;3/3/1981;18.5
23 December 2019;2019-12-23;10/3/1981;18
23 December 2019;2019-12-23;17/3/1981;17.5
23 December 2019;2019-12-23;24/3/1981;17
23 December 2019;2019-12-23;27/3/1981;17.5
23 December 2019;2019-12-23;1/4/1981;17
23 December 2019;2019-12-23;20/4/1981;17.5
23 December 2019;2019-12-23;29/4/1981;18
23 December 2019;2019-12-23;4/5/1981;19
23 December 2019;2019-12-23;11/5/1981;19.5
23 December 2019;2019-12-23;18/5/1981;20
23 December 2019;2019-12-23;22/5/1981;20.5
23 December 2019;2019-12-23;1/6/1981;20
23 December 2019;2019-12-23;8/7/1981;20.5
23 December 2019;2019-12-23;16/9/1981;20
23 December 2019;2019-12-23;22/9/1981;19.5
23 December 2019;2019-12-23;5/10/1981;19
23 December 2019;2019-12-23;13/10/1981;18
23 December 2019;2019-12-23;2/11/1981;17.5
23 December 2019;2019-12-23;9/11/1981;17
23 December 2019;2019-12-23;16/11/1981;16.5
23 December 2019;2019-12-23;24/11/1981;16
23 December 2019;2019-12-23;1/12/1981;15.75
23 December 2019;2019-12-23;2/2/1982;16.5
23 December 2019;2019-12-23;17/2/1982;17
23 December 2019;2019-12-23;23/2/1982;16.5
23 December 2019;2019-12-23;20/7/1982;16
23 December 2019;2019-12-23;29/7/1982;15.5
23 December 2019;2019-12-23;2/8/1982;15
23 December 2019;2019-12-23;16/8/1982;14.5
23 December 2019;2019-12-23;18/8/1982;14
23 December 2019;2019-12-23;23/8/1982;13.5
23 December 2019;2019-12-23;7/10/1982;13
23 December 2019;2019-12-23;13/10/1982;12
23 December 2019;2019-12-23;22/11/1982;11.5
23 December 2019;2019-12-23;11/1/1983;11
23 December 2019;2019-12-23;25/2/1983;10.5
23 December 2019;2019-12-23;8/8/1983;11
23 December 2019;2019-12-23;19/3/1984;11.5
23 December 2019;2019-12-23;5/4/1984;12
23 December 2019;2019-12-23;8/5/1984;12.5
23 December 2019;2019-12-23;25/6/1984;13
23 December 2019;2019-12-23;27/9/1984;12.75
23 December 2019;2019-12-23;16/10/1984;12.5
23 December 2019;2019-12-23;29/10/1984;12
23 December 2019;2019-12-23;8/11/1984;11.75
23 December 2019;2019-12-23;28/11/1984;11.25
23 December 2019;2019-12-23;19/12/1984;10.75
23 December 2019;2019-12-23;15/1/1985;10.5
23 December 2019;2019-12-23;20/5/1985;10
23 December 2019;2019-12-23;18/6/1985;9.5
23 December 2019;2019-12-23;7/3/1986;9
23 December 2019;2019-12-23;21/4/1986;8.5
23 December 2019;2019-12-23;11/7/1986;8
23 December 2019;2019-12-23;26/8/1986;7.5
23 December 2019;2019-12-23;1/4/1987;7.75
23 December 2019;2019-12-23;1/5/1987;8
23 December 2019;2019-12-23;15/5/1987;8.25
23 December 2019;2019-12-23;4/9/1987;8.75
23 December 2019;2019-12-23;7/10/1987;9.25
23 December 2019;2019-12-23;22/10/1987;9
23 December 2019;2019-12-23;5/11/1987;8.75
23 December 2019;2019-12-23;2/2/1988;8.5
23 December 2019;2019-12-23;11/5/1988;9
23 December 2019;2019-12-23;14/7/1988;9.5
23 December 2019;2019-12-23;11/8/1988;10
23 December 2019;2019-12-23;28/11/1988;10.5
